"字詞名","輕鬆輸入法編碼","分析可能的輕鬆輸入法編碼","查無對映的輕鬆輸入法編碼"
"報載","gxgi","",""
"報案","gx7d","",""
"報恩","gxwp","",""
"報業","gxtd","",""
"報憂","gxmx","",""
"報應","gx`p","",""
"報怨","gx,p","",""
"暴","ae","",""
"暴斃","aet'","",""
"暴病","aeyb","",""
"暴病","ae`b","",""
"暴民","aeri","",""
"暴民","ae]i","",""
"暴發","ae.x","",""
"暴發戶","a.s","",""
"暴風","ae,'","",""
"暴風","ae-'","",""
"暴風","ae-l","",""
"暴風半徑","a,t,","",""
"暴風半徑","a-t,","",""
"暴風圈","a,w","",""
"暴風圈","a-w","",""
"暴風雨","a,6","",""
"暴風雨","a-6","",""
"暴跌","aerk","",""
"暴動","ae,n","",""
"暴投","aeqx","",""
"暴跳如雷","arv6","",""
"暴殄天物","amm,","",""
"暴徒","ae,o","",""
"暴虐","aeym","",""
"暴虐","aey[","",""
"暴力","aejn","",""
"暴力","aemn","",""
"暴力","aen,","",""
"暴利","ae,b","",""
"暴戾","aesk","",""
"暴亂","ae,'","",""
"暴虎馮河","ayye","",""
"暴君","ae]r","",""
"暴行","ae,b","",""
"暴漲","aee[","",""
"暴漲","aye[","",""
"暴漲暴跌","aear","",""
"暴政","aemx","",""
"暴躁","aerd","",""
"暴增","aega","",""
"暴卒","aeyj","",""
"暴牙","aemb","",""
"暴飲暴食","aoao","",""
"暴雨","ae6","",""
"爆","fe","",""
"爆破","femx","",""
"爆滿","feeb","",""
"爆米花","ftt","",""
"爆發","fe.x","",""
"爆發力","f.j","",""
"爆發力","f.n","",""
"爆胎","febr","",""
"爆冷門","fya","",""
"爆裂","fem[","",""
"爆笑","fehk","",""
"爆炸","fefm","",""
"爆炸性","ffp","",""
"爆竹","feh","",""
"爆出","feuu","",""
"扳","qx","",""
"扳倒","qxob","",""
"扳回","qxwr","",""
"扳回一城","qw1g","",""
"扳回一城","qwmg","",""
"扳機","qxdi","",""
"扳手","qxq","",""
"班","mg","",""
"班別","mgrb","",""
"班門弄斧","mam8","",""
"班代","mgoi","",""
"班代表","moj","",""
"班導師","mz,","",""
"班導師","mzs","",""
"班底","mg`m","",""
"班會","mgoa","",""
"班機","mgdi","",""
"班級","mg3x","",""
"班際","mg9y","",""
"班長","mgm[","",""
"班子","mg.b","",""
"班次","mgmo","",""
"班次","mgyo","",""
"斑","mg","",""
"斑剝","mg,b","",""
"斑駁","mgmx","",""
"斑白","mg,a","",""
"斑斑","mgmg","",""
"斑斑點點","mmww","",""
"斑馬","mgmn","",""
"斑馬線","mm3","",""
"斑點","mgwf","",""
"斑點","mgwr","",""
"斑斕","mgya","",""
"斑斕","mgyd","",""
"斑痕","mgy[","",""
"斑痕","mg`[","",""
"般",",x","",""
"搬","qx","",""
"搬風","qx,'","",""
"搬風","qx-l","",""
"搬動","qx,n","",""
"搬弄是非","qma,","",""
"搬弄是非","qma1","",""
"搬開","qxat","",""
"搬家","qx7.","",""
"搬遷","qxz'","",""
"搬磚砸腳","qmmb","",""
"搬出","qxuu","",""
"搬走","qxgo","",""
"搬演","qxe8","",""
"搬運","qxz2","",""
"頒","85","",""
"頒布","85j1","",""
"頒發","85.x","",""
"頒獎","85'k","",""
"頒獎","851k","",""
"頒授","85qx","",""
"頒贈","855a","",""
"阪","9x","",""
"板","dx","",""
"板蕩","dxtn","",""
"板凳","dx.-","",""
"板金","dxcc","",""
"板球","dxme","",""
"板車","dx2","",""
"板書","dx1a","",""
"板書","dx]a","",""
"板擦","dxqy","",""
"版",",x","",""
"版","1x","",""
"版本",",xdm","",""
"版本","1xdm","",""
"版面",",xmw","",""
"版面","1xmw","",""
"版圖",",xww","",""
"版圖","1xww","",""
"版畫",",x1m","",""
"版畫",",x]m","",""
"版畫","1x1m","",""
"版畫","1x]m","",""
"版權",",xd0","",""
"版權","1xd0","",""
"版權頁",",dm","",""
"版權頁","1dm","",""
"版稅",",x,-","",""
"版稅","1x,-","",""
"舨",",x","",""
"鈑","cx","",""
"闆","ar","",""
"半","tj","",""
"半百","tjma","",""
"半壁江山","tseu","",""
"半票","tjmy","",""
"半瓶醋","ttm","",""
"半島","tj,n","",""
"半導體","tz7","",""
"半吊子","tr.","",""
"半天","tjmk","",""
"半途","tjzd","",""
"半途而廢","tzm`","",""
"半推半就","tqty","",""
"半路","tjrr","",""
"半路出家","tru7","",""
"半規管","tgh","",""
"半規管","tjh","",""
"半工半讀","tmt4","",""
"半價","tjo5","",""
"半截","tjgi","",""
"半截","tjji","",""
"半斤八兩","t,8m","",""
"半徑","tj,m","",""
"半仙","tjou","",""
"半信半疑","tot'","",""
"半成品","t`r","",""
"半身不遂","t,mz","",""
"半晌","tjab","",""
"半生","tj,g","",""
"半生不熟","t,my","",""
"半數","tj1x","",""
"半數","tjwx","",""
"半子","tj.b","",""
"半自動","t,,","",""
"半死不活","tmme","",""
"半夜","tjy.","",""
"半夜","tjyx","",""
"半夜三更","tymm","",""
"半圓","tjw5","",""
"伴","oj","",""
"伴娘","ojv[","",""
"伴郎","ojy9","",""
"伴侶","ojor","",""
"伴唱","ojra","",""
"伴唱帶","orj","",""
"伴唱帶","orm","",""
"伴唱機","ord","",""
"伴奏","ojjk","",""
"伴隨","oj9b","",""
"伴隨","oj9z","",""
"伴舞","oj,j","",""
"拌","qj","",""
"拌合","qjor","",""
"拌嘴","qjrb","",""
"拌勻","qj,n","",""
"絆","3j","",""
"絆倒","3job","",""
"絆腳石","3bm","",""
"扮","qn","",""
"扮鬼臉","q,b","",""
"扮家家酒","q77e","",""
"扮相","qndw","",""
"扮豬吃老虎","qmrg","",""
"扮演","qne8","",""
"辦","yj","",""
"辦報","yjgx","",""
"辦不到","ymm","",""
"辦法","yje/","",""
"辦到","yjmb","",""
"辦妥","yj,v","",""
"辦理","yjmg","",""
"辦公","yj8/","",""
"辦公廳","y8`","",""
"辦公桌","y8y","",""
"辦公處","y8y","",""
"辦公室","y87","",""
"辦好","yjvb","",""
"辦喜事","ygj","",""
"辦喜事","ygm","",""
"辦學","yj,b","",""
"辦桌","yjyd","",""
"辦事","yjjb","",""
"辦事處","ymy","",""
"辦案","yj7d","",""
"瓣","yj","",""
"瓣膜","yjbk","",""
"奔","kt","",""
"奔波","ktex","",""
"奔跑","ktr'","",""
"奔忙","ktp'","",""
"奔命","kto9","",""
"奔放","ktyx","",""
"奔逃","ktz-","",""
"奔騰","ktbn","",""
"奔流","kte'","",""
"奔流","kte-","",""
"奔馳","ktm'","",""
"奔馳如雷","kmv6","",""
"奔走","ktgo","",""
"奔喪","ktj[","",""
"賁","j5","",""
"賁門","j5a","",""
"賁張","j5n[","",""
"本","dm","",""
"本部","dmy9","",""
"本埠","dmgj","",""
"本票","dmmy","",""
"本末","dmjd","",""
"本末","dmmd","",""
"本末倒置","djow","",""
"本末倒置","dmow","",""
"本名","dm,r","",""
"本分","dm8n","",""
"本俸","dmoj","",""
"本島","dm,n","",""
"本地","dmg'","",""
"本體","dm7t","",""
"本土","dmg","",""
"本土化","dgo","",""
"本能","dm/'","",""
"本來","dmdo","",""
"本來","dmjd","",""
"本來","dmm.","",""
"本壘","dmwg","",""
"本利","dm,b","",""
"本領","dmo5","",""
"本國","dmwi","",""
"本行","dm,b","",""
"本籍","dmha","",""
"本紀","dm3'","",""
"本家","dm7.","",""
"本金","dmc","",""
"本錢","dmci","",""
"本息","dm,p","",""
"本心","dmp","",""
"本薪","dmt1","",""
"本性","dmpg","",""
"本性難移","dpt,","",""
"本質","dm,5","",""
"本市","dmy1","",""
"本事","dmjb","",""
"本事","dmjb","",""
"本身","dm,b","",""
"本省","dm,w","",""
"本省","dmbw","",""
"本人","dmo","",""
"本色","dm,'","",""
"本益比","dt'","",""
"本益比","dt1","",""
"本意","dmyp","",""
"本業","dmtd","",""
"本位","dmot","",""
"本位主義","doyt","",""
"本文","dmyx","",""
"苯","td","",""
"苯","tm","",""
"苯乙烯","t.f","",""
"畚","/w","",""
"畚箕","/wh8","",""
"笨","hd","",""
"笨","hm","",""
"笨蛋","hd.l","",""
"笨蛋","hm.l","",""
"笨鳥先飛","h0,m","",""
"笨拙","hdqu","",""
"笨拙","hmqu","",""
"笨重","hd,g","",""
"笨重","hm,g","",""
"笨手笨腳","hqhb","",""
"邦","j9","",""
"邦聯","j991","",""
"邦交","j9yx","",""
"邦彥","j9y,","",""
"梆","d9","",""
"梆笛","d9hw","",""
"傍","on","",""
"傍晚","ona-","",""
"幫","g1","",""
"幫辦","g1yj","",""
"幫派","g1e[","",""
"幫浦","g1eb","",""
"幫忙","g1p'","",""
"幫倒忙","gop","",""
"幫會","g1oa","",""
"幫腔","g1bm","",""
"幫凶","g1'1","",""
"幫助","g17n","",""
"幫助","g1bn","",""
"幫襯","g1y-","",""
"幫手","g1q","",""
"幫傭","g1ob","",""
"綁","39","",""
"綁票","39my","",""
"綁匪","39[m","",""
"綁架","39jd","",""
"綁架","39nd","",""
"綁住","39og","",""
"榜","dn","",""
"榜單","dnrj","",""
"榜首","dntw","",""
"榜上無名","dy,,","",""
"榜眼","dnw[","",""
"榜樣","dnde","",""
"膀","bn","",""
"旁","yn","",""
"傍","on","",""
"蒡","tnx","",""
"膀","bn","",""
"磅","mn","",""
"磅秤","mn,j","",""
"謗","4n","",""
"鎊","cn","",""
"蚌","lj","",""
"蚌珠","ljmd","",""
"棒","dj","",""
"棒壇","djgm","",""
"棒喝","djr=","",""
"棒喝","djrw","",""
"棒球","djme","",""
"棒球隊","dm9","",""
"棒球卡","dmy","",""
"棒球場","dmg","",""
"棒球賽","dm7","",""
"棒槌","djdr","",""
"棒槌","djdz","",""
"棒子","dj.b","",""
"崩","ub","",""
"崩盤","ub,m","",""
"崩塌","ubgn","",""
"崩坍","ubgb","",""
"崩裂","ubm[","",""
"崩落","ubtr","",""
"崩潰","ube5","",""
"崩殂","ubmm","",""
"繃","3b","",""
"繃帶","3bj1","",""
"繃帶","3bm1","",""
"繃緊","3b[3","",""
"繃子","3b.b","",""
"甭","mbx","",""
"繃","3b","",""
"泵","me","",""
"泵浦","meeb","",""
"迸","zt","",""
"迸發","zt.x","",""
"迸裂","ztm[","",""
"迸出","ztuu","",""
"榜","dn","",""
"繃","3b","",""
"蹦","rb","",""
"蹦蹦跳跳","rrrr","",""
"蹦跳","rbr'","",""
"蹦跳","rbr-","",""
"逼","zw","",""
"逼不得已","zm,]","",""
"逼迫","zwza","",""
"逼供","zwo8","",""
"逼緊","zw[3","",""
"逼近","zwz1","",""
"逼真","zwj8","",""
"逼視","zwy-","",""
"逼上梁山","zyeu","",""
"逼人","zwo","",""
"逼人太甚","zokt","",""
"逼問","zwar","",""
"荸","tb","",""
"荸薺","tbt1","",""
"鼻",",t","",""
"鼻竇炎",",7f","",""
"鼻竇炎",",gf","",""
"鼻涕",",te1","",""
"鼻涕",",ten","",""
"鼻梁",",ted","",""
"鼻孔",",t.'","",""
"鼻尖",",t,k","",""
"鼻腔",",tbm","",""
"鼻青臉腫",",jbb","",""
"鼻息",",t,p","",""
"鼻子",",t.b","",""
"鼻祖",",tym","",""
"鼻酸",",tmx","",""
"鼻煙壺",",fg","",""
"鼻炎",",tff","",""
"鼻音",",tya","",""
"匕","',","",""
"匕","1'","",""
"匕首","',tw","",""
"匕首",",'tw","",""
"匕首","1'tw","",""
"比","''","",""
"比","1'","",""
"比目魚","'a,","",""
"比目魚","'w,","",""
"比目魚","1a,","",""
"比目魚","1w,","",""
"比方","''yn","",""
"比方","1'yn","",""
"比方說","'y4","",""
"比方說","1y4","",""
"比對","''t;","",""
"比對","1't;","",""
"比擬","''qo","",""
"比擬","1'qo","",""
"比例","''ob","",""
"比例","1'ob","",""
"比率","''yj","",""
"比率","1'yj","",""
"比劃","'']b","",""
"比基尼","'ts","",""
"比基尼","1ts","",""
"比價","''o5","",""
"比價","1'o5","",""
"比較","''2x","",""
"比較","1'2x","",""
"比丘","'',m","",""
"比丘","1',m","",""
"比丘尼","',s","",""
"比丘尼","1,s","",""
"比值","''om","",""
"比照","''af","",""
"比照","1'af","",""
"比重","'',g","",""
"比重","1',g","",""
"比試","''4i","",""
"比手畫腳","'q1b","",""
"比手畫腳","'q]b","",""
"比手畫腳","1q1b","",""
"比手畫腳","1q]b","",""
"比數","''1x","",""
"比數","''wx","",""
"比數","1'1x","",""
"比數","1'wx","",""
"比如","''vr","",""
"比如","1'vr","",""
"比賽","''75","",""
"比賽","1'75","",""
"比翼鳥","'n0","",""
"比翼鳥","1n0","",""
"比翼雙飛","'n0m","",""
"比翼雙飛","1n0m","",""
"比喻","''rb","",""
"比喻","1'rb","",""
"妣","v'","",""
"彼",",x","",""
"彼長我消",",m1e","",""
"彼長我消",",m,e","",""
"彼此",",x1'","",""
"彼岸",",xuj","",""
"彼一時，此一時",",1a,","",""
"彼一時，此一時",",ma,","",""
"筆","hj","",""
"筆墨","hjwg","",""
"筆名","hj,r","",""
"筆法","hje/","",""
"筆鋒","hjcj","",""
"筆調","hj4b","",""
"筆談","hj4f","",""
"筆挺","hjqg","",""
"筆筒","hjhb","",""
"筆力","hjjn","",""
"筆力","hjmn","",""
"筆錄","hjce","",""
"筆桿","hjdj","",""
"筆耕","hjj1","",""
"筆耕","hjjt","",""
"筆畫","hj1m","",""
"筆畫","hj]m","",""
"筆跡","hjrb","",""
"筆跡","hjry","",""
"筆記","hj4'","",""
"筆記型電腦","h4m6","",""
"筆記書","h41","",""
"筆記書","h4]","",""
"筆下","hjmy","",""
"筆直","hjjm","",""
"筆者","hjga","",""
"筆仗","hjo.","",""
"筆仗","hjox","",""
"筆觸","hj,n","",""
"筆試","hj4i","",""
"筆順","hj,5","",""
"筆意","hjyp","",""
"筆友","hjjx","",""
"筆誤","hj4k","",""
"鄙","r9","",""
"鄙陋","r99'","",""
"鄙陋","r99b","",""
"鄙見","r9w-","",""
"鄙棄","r9jd","",""
"鄙棄","r9md","",""
"鄙棄","r9yd","",""
"鄙視","r9y-","",""
"鄙人","r9o","",""
"鄙俗","r9or","",""
"鄙夷","r9jo","",""
"鄙夷","r9kn","",""
"鄙夷","r9mo","",""
"比","''","",""
"比","1'","",""
"比比皆是","'''a","",""
"比比皆是","''1a","",""
"比比皆是","111a","",""
"比鄰","''9j","",""
"比鄰","''t9","",""
"比鄰","1'9j","",""
"比鄰","1't9","",""
"比鄰而居","'9ms","",""
"比鄰而居","'tms","",""
"比鄰而居","19ms","",""
"比鄰而居","1tms","",""
"比肩","''sb","",""
"比肩","1'sb","",""
"庇","`'","",""
"庇護","`'4x","",""
"庇護","`'tx","",""
"庇佑","`'or","",""
"庇蔭","`'t/","",""
"陛","9g","",""
"陛下","9gmy","",""
"蓖","t'x","",""
"蓖麻","tx`'","",""
"蓖麻","tx`d","",""
"篦","h'","",""
"必","p,","",""
"必備","p,ob","",""
"必必剝剝","pp,,","",""
"必定","p,7o","",""
"必修","p,o,","",""
"必須","p,,5","",""
"必需","p,6b","",""
"必需品","p6r","",""
"必然","p,,f","",""
"必要","p,mv","",""
"泌","ep","",""
"祕","yp","",""
"毖","'px","",""
"秘",",p","",""
"畀","wtx","",""
"拂","q1","",""
"拂","qn","",""
"俾","oj","",""
"埤","gj","",""
"婢","vj","",""
"婢女","vjv","",""
"痺","yj","",""
"痺","`j","",""
"睥","wj","",""
"睥睨","wjw-","",""
"裨","yj","",""
"裨益","yjtm","",""
"髀","7jx","",""
"敝","tx","",""
"敝屣","txso","",""
"敝帚千金","t],c","",""
"敝帚自珍","t],m","",""
"弊","tt","",""
"弊病","ttyb","",""
"弊病","tt`b","",""
"弊端","ttyb","",""
"弊絕風清","t3,e","",""
"弊絕風清","t3-e","",""
"弊案","tt7d","",""
"幣","t1","",""
"幣值","t1om","",""
"幣制","t1,b","",""
"蔽","tx","",""
"蔽天","txmk","",""
"蔽空","tx7m","",""
"蔽塞","tx7g","",""
"斃","t'","",""
"斃命","t'o9","",""
"閉","ab","",""
"閉門羹","aat","",""
"閉門謝客","aa47","",""
"閉門造車","aaz2","",""
"閉目養神","aaty","",""
"閉目養神","awty","",""
"閉幕","abt1","",""
"閉幕典禮","at1y","",""
"閉幕典禮","atwy","",""
"閉幕式","ati","",""
"閉路電視","ar6y","",""
"閉關","aba1","",""
"閉關自守","aa,7","",""
"閉會","aboa","",""
"閉上","abym","",""
"閉嘴","abrb","",""
"閉塞","ab7g","",""
"閉月羞花","abtt","",""
"畢","wj","",""
"畢恭畢敬","wtwt","",""
"畢竟","wjy-","",""
"畢生","wj,g","",""
"畢業","wjtd","",""
"畢業典禮","wt1y","",""
"畢業典禮","wtwy","",""
"畢業生","wt,","",""
"嗶","rj","",""
"嗶嗶剝剝","rr,,","",""
"蓽","tjx","",""
"篳路藍縷","hrt3","",""
"篳","hjx","",""
"篳篥","hxhx","",""
"蹕","rj","",""
"愎","px","",""
"賁","j5","",""
"弼","nn","",""
"辟","sj","",""
"辟邪","sjm9","",""
"壁","sg","",""
"壁報","sggx","",""
"壁燈","sgft","",""
"壁壘","sgwg","",""
"壁壘分明","sw8a","",""
"壁爐","sgfm","",""
"壁虎","sgy-","",""
"壁花","sgt'","",""
"壁畫","sg1m","",""
"壁畫","sg]m","",""
"壁紙","sg3i","",""
"壁櫥","sgd;","",""
"壁上觀","syt","",""
"嬖","svx","",""
"薜","tj","",""
"薜荔","tjtn","",""
"避","zj","",""
"避不見面","zmwm","",""
"避免","zj,'","",""
"避免","zj,-","",""
"避風港","z,e","",""
"避風港","z-e","",""
"避難","zjt0","",""
"避雷針","z6c","",""
"避開","zjat","",""
"避諱","zj4j","",""
"避邪","zjm9","",""
"避嫌","zjv.","",""
"避嫌","zjvy","",""
"避重就輕","z,y2","",""
"避世","zj't","",""
"避世","zjm'","",""
"避世","zjt'","",""
"避暑","zjaa","",""
"避暑勝地","zabg","",""
"避人耳目","zo9a","",""
"避人耳目","zo9w","",""
"避而不談","zmm4","",""
"避孕","zj.b","",""
"避孕藥","z.t","",""
"臂","sb","",""
"臂膀","sbbn","",""
"臂章","sbyj","",""
"臂彎","sb3n","",""
"璧","sg","",""
"璧還","sgz[","",""
"璧謝","sg4;","",""
"璧人","sgo","",""
"襞","s[","",""
"碧","mr","",""
"碧波","mrex","",""
"碧波萬頃","me`'","",""
"碧波萬頃","met'","",""
"碧落","mrtr","",""
"碧綠","mr3e","",""
"碧空","mr7m","",""
"碧海","mre=","",""
"碧海青天","mejm","",""
"碧血","mr,m","",""
"碧草如茵","mtvt","",""
"碧玉","mrmg","",""
"碧玉","mrmy","",""
"憋","tp","",""
"憋","tpx","",""
"憋尿","tpse","",""
"憋尿","txse","",""
"鱉","tf","",""
"別","rb","",""
"別苗頭","rtm","",""
"別名","rb,r","",""
"別提","rbqo","",""
"別離","rby0","",""
"別管","rbhr","",""
"別開生面","ra,m","",""
"別號","rbr-","",""
"別具慧眼","r7jw","",""
"別具慧眼","rbjw","",""
"別具一格","r7md","",""
"別具一格","rbmd","",""
"別緻","rb3x","",""
"別針","rbcj","",""
"別出心裁","rupg","",""
"別出心裁","rupj","",""
"別墅","rbwg","",""
"別樹一幟","rdm1","",""
"別樹一幟","rdmb","",""
"別人","rbo","",""
"別字","rb7b","",""
"別有風味","rj-r","",""
"別有洞天","rjem","",""
"別有天地","rjmg","",""
"別有用心","rjbp","",""
"蹩","to","",""
"蹩","tox","",""
"癟","yb","",""
"癟","`b","",""
"癟三","`bmm","",""
"彆","tn","",""
"彆扭","tnqm","",""
"杓","dn","",""
"髟","m,x","",""
"彪","y,","",""
"彪炳","y,fb","",""
"彪形大漢","ymke","",""
"飆","k'","",""
"飆","k-","",""
"飆","k-x","",""
"飆漲","k-e[","",""
"飆車","k'2","",""
"飆車","k-2","",""
"標","dy","",""
"標靶","dyt'","",""
"標本","dydm","",""
"標榜","dydn","",""
"標明","dyab","",""
"標單","dyrj","",""
"標的","dy,n","",""
"標點符號","dwhr","",""
"標題","dya5","",""
"標高","dyyb","",""
"標購","dy5b","",""
"標竿","dyhj","",""
"標會","dyoa","",""
"標記","dy4'","",""
"標價","dyo5","",""
"標舉","dy,j","",""
"標籤","dyhi","",""
"標槍","dydr","",""
"標新立異","dyyw","",""
"標致","dymx","",""
"標誌","dy4p","",""
"標幟","dy1i","",""
"標幟","dybi","",""
"標準","dyej","",""
"標準桿","ded","",""
"標準鏡頭","decm","",""
"標示","dymy","",""
"標售","dy0r","",""
"標語","dy4r","",""
"鏢","cy","",""
"鏢客","cy7r","",""
"鑣","cf","",""
"表","j[","",""
"表白","j[,a","",""
"表皮","j[.x","",""
"表皮","j[`x","",""
"表妹","j[vd","",""
"表面","j[mw","",""
"表面化","jmo","",""
"表面張力","jmnj","",""
"表面張力","jmnn","",""
"表明","j[ab","",""
"表達","j[zj","",""
"表弟","j[t1","",""
"表弟","j[tn","",""
"表態","j[/p","",""
"表裡","j[yg","",""
"表裡","j[y[","",""
"表裡如一","jyvm","",""
"表露","g[6r","",""
"表露","j[6r","",""
"表哥","j[mb","",""
"表格","j[dr","",""
"表姐","j[vm","",""
"表件","j[oj","",""
"表決","j[ek","",""
"表決權","jed","",""
"表情","j[pb","",""
"表現","j[m-","",""
"表象","j[,.","",""
"表彰","j[y,","",""
"表徵","j[,x","",""
"表示","j[my","",""
"表率","j[yj","",""
"表姊","j[v1","",""
"表姊","j[vn","",""
"表層","j[sa","",""
"表演","j[e8","",""
"表演賽","je7","",""
"表揚","j[qn","",""
"婊","v[","",""
"裱","y[x","",""
"裱背","yx1b","",""
"裱背","yxmb","",""
"錶","c[","",""
"錶帶","c[j1","",""
"摽","qyx","",""
"鰾",",y","",""
"砭","m.","",""
"蝙","lb","",""
"蝙蝠","lb","",""
"蝙蝠","lblw","",""
"編","3b","",""
"編班","3bmg","",""
"編排","3bqm","",""
"編派","3be[","",""
"編配","3bm'","",""
"編碼","3bmn","",""
"編導","3bz;","",""
"編訂","3b4b","",""
"編隊","3b9.","",""
"編年體","3,7","",""
"編列","3bmb","",""
"編錄","3bce","",""
"編號","3br-","",""
"編輯","3b29","",""
"編劇","3byb","",""
"編劇","3b`b","",""
"編曲","3b1w","",""
"編曲","3ba1","",""
"編寫","3b7n","",""
"編織","3b3i","",""
"編制","3b,b","",""
"編製","3b,[","",""
"編者","3bga","",""
"編著","3bta","",""
"編撰","3bq8","",""
"編審","3b7w","",""
"編造","3bzr","",""
"編組","3b3m","",""
"編纂","3bh3","",""
"編譯","3b4j","",""
"編印","3b,9","",""
"編印","3b[9","",""
"鞭","tx","",""
"鞭辟入裡","tsoy","",""
"鞭炮","txf'","",""
"鞭打","txqb","",""
"鞭笞","txhr","",""
"鞭長莫及","tmt.","",""
"鞭策","txhd","",""
"邊","zn","",""
"邊門","zna","",""
"邊防","zn9n","",""
"邊幅","zn1w","",""
"邊幅","znbw","",""
"邊際","zn9y","",""
"邊界","znw1","",""
"邊疆","znnm","",""
"邊境","zng-","",""
"邊陲","zn9g","",""
"邊緣","zn3.","",""
"邊遠","znz[","",""
"籩","hnx","",""
"扁","sb","",""
"扁柏","sbda","",""
"扁平","sbmj","",""
"扁平足","smr","",""
"扁蒲","sbtb","",""
"扁擔","sbq4","",""
"扁桃腺","sdb","",""
"扁食","sbo[","",""
"扁鑽","sbc5","",""
